NBA,Who is the all time leading scorer in NBA history,LeBron James - over 39000 points,Easy,1,Records
NBA,Which team has won the most NBA championships,Boston Celtics - 17 tied,Easy,1,Championships
NBA,Who is known as His Airness,Michael Jordan,Easy,1,Nicknames
NBA,What year was the NBA founded,1946,Medium,2,History
NBA,Who has the most career assists,John Stockton - 15806,Easy,1,Records
NBA,Which team drafted Kobe Bryant,Charlotte Hornets traded to Los Angeles Lakers,Medium,2,History
NBA,Who has the most career rebounds,Wil Chamberlain - 23924,Medium,2,Records
NBA,What is a triple double,Double digits in three statistical categories,Easy,1,Rules
NBA,Who won the 2016 NBA Finals,Cleveland Cavaliers,Easy,1,Championships
NBA,Which player scored 100 points in a single game,Wil Chamberlain - 100,Easy,1,Records
NBA,Who has the most MVP awards,Kareem Abdul Jabbar - 6,Easy,1,Awards
NBA,What team is known as the Showtime Lakers,Los Angeles Lakers,Easy,1,Nicknames
NBA,Who was the first overall pick in the 2003 NBA Draft,LeBron James,Easy,1,History
NBA,Which player is known as The Greek Freak,Giannis Antetokounmpo,Easy,1,Nicknames
NBA,Who has the most career steals,John Stockton - 3265,Medium,2,Records
NBA,What is the length of an NBA game,48 minutes,Easy,1,Rules
NBA,Who won the 2020 NBA Finals,Los Angeles Lakers,Easy,1,Championships
NBA,Which player is known as The Answer,Allen Iverson,Easy,1,Nicknames
NBA,Who holds the record for most three pointers made,Stephen Curry,Easy,1,Records
NBA,What is a slam dunk,Forceful downward score into basket,Easy,1,Rules
NBA,Who was the Finals MVP in 1998,Michael Jordan,Medium,2,Championships
NBA,Which team relocated from Seattle to become the Oklahoma City Thunder,Seattle SuperSonics,Medium,2,History
NBA,Who has the highest career points per game average,Michael Jordan - 30.1,Medium,2,Records
NBA,What is a technical foul,Violation of sportsmanship rules,Medium,2,Rules
NBA,Who won Rookie of the Year in 2019,Luka Doncic,Medium,2,Awards
NBA,Which player was known as Big Fundamental,Tim Duncan,Easy,1,Nicknames
NBA,Who has the most career blocks,Hakeem Olajuwon - 3830,Hard,3,Records
NBA,What is the three point line distance,23.75 feet average,Medium,2,Rules
NBA,Who won the 2019 NBA Finals,Toronto Raptors,Easy,1,Championships
NBA,Which player is known as KD,Kevin Durant,Easy,1,Nicknames
NBA,Who has the most triple doubles,Russell Westbrook,Medium,2,Records
NBA,What is a shot clock violation,Failure to shoot within 24 seconds,Easy,1,Rules
NBA,Who was the first player to win MVP unanimously,Stephen Curry - 2016,Medium,2,Records
NBA,Which team has a dinosaur mascot,Toronto Raptors,Easy,1,Quirky
NBA,Who has the most career turnovers,LeBron James,Hard,3,Records
NBA,What is goaltending,Illegal interference with ball on way down,Medium,2,Rules
NBA,Who won the 2008 NBA Finals,Boston Celtics,Easy,1,Championships
NBA,Which player is known as The Beard,James Harden,Easy,1,Nicknames
NBA,Who has the most career games played,Robert Parish - 1611,Hard,3,Records
NBA,What is a fast break,Quick transition scoring opportunity,Easy,1,Rules
NBA,Who won MVP in 2000,Shaquille O Neal,Medium,2,Awards
NBA,Which team drafted Dirk Nowitzki,Milwaukee Bucks traded to Dallas Mavericks,Hard,3,History
NBA,Who has the most career free throws made,Karl Malone - 9787,Medium,2,Records
NBA,What is a double dribble,Illegal second dribble after stopping,Easy,1,Rules
NBA,Who was Finals MVP in 2013,LeBron James,Medium,2,Championships
NBA,Which player is known as The Mailman,Karl Malone,Easy,1,Nicknames
NBA,Who has the most points in a playoff game,Michael Jordan - 63,Hard,3,Records
NBA,What is a backcourt violation,Returning ball to backcourt illegally,Medium,2,Rules
NBA,Who won the 1995 NBA Finals,Houston Rockets,Easy,1,Championships
NBA,Which player famously broke a backboard with a dunk,Darryl Dawkins,Medium,2,Quirky
