Sport,Question,Answer,Difficulty,Points,CategoryTag
NFL,Who holds the record for most career completions,Tom Brady - 7753,Medium,2,Records
NFL,Which team won Super Bowl XLV,Green Bay Packers,Easy,1,Championships
NFL,Who has the most career all purpose yards,Jerry Rice - 23546,Hard,3,Records
NFL,What is the maximum number of players on the field per team,11,Easy,1,Rules
NFL,Who was the first quarterback to throw for 5000 yards in a season,Dan Marino - 1984,Medium,2,Records
NFL,Which team went undefeated in the regular season but lost the Super Bowl in 2007,New York Giants defeated New England Patriots,Medium,2,History
NFL,Who has the most career forced fumbles,Robert Mathis - 54,Hard,3,Records
NFL,What is the term for a defensive score off a fumble return,Defensive touchdown,Easy,1,Rules
NFL,Who won Super Bowl XXXVI,New England Patriots,Easy,1,Championships
NFL,Which player was nicknamed Megatron,Calvin Johnson,Easy,1,Nicknames
NFL,Who has the most career field goals made,Adam Vinatieri - 599,Medium,2,Records
NFL,What is the distance of an extra point kick,33 yards,Easy,1,Rules
NFL,Who was the first overall pick in the 2012 NFL Draft,Andrew Luck,Medium,2,History
NFL,Which team has the most playoff appearances,Dallas Cowboys,Hard,3,Records
NFL,Who holds the record for most sacks in a single season,Michael Strahan - 22.5,Medium,2,Records
NFL,What is a fair catch,Player catches kick without advancing and cannot be hit,Easy,1,Rules
NFL,Who won the 2021 NFL MVP,Aaron Rodgers,Easy,1,Awards
NFL,Which team is known for the Terrible Towel,Pittsburgh Steelers,Easy,1,Quirky
NFL,Who has the most career rushing attempts,Emmitt Smith - 4409,Hard,3,Records
NFL,What is a lateral pass,Backward pass that can be caught by any player,Medium,2,Rules
NFL,Who was the MVP of Super Bowl LIV,Patrick Mahomes,Easy,1,Championships
NFL,Which team drafted Lamar Jackson,Baltimore Ravens,Medium,2,Players
NFL,Who has the most career interceptions as a defender,Paul Krause - 81,Medium,2,Records
NFL,What is the term for kicking the ball after a safety,Free kick,Medium,2,Rules
NFL,Who won Super Bowl XX,VChicago Bears,Easy,1,Championships
NFL,Which player was nicknamed Beast Mode,Marshawn Lynch,Easy,1,Nicknames
NFL,Who has the most career passing touchdowns in a single season,Peyton Manning - 55,Medium,2,Records
NFL,What is a touchback,Ball placed at the 25 yard line after certain plays,Easy,1,Rules
NFL,Who was the first defensive player to win Super Bowl MVP,Chuck Howley,Hard,3,History
NFL,Which team has the most consecutive playoff appearances,New England Patriots - 11,Hard,3,Records
NFL,Who has the most career kickoff return touchdowns,Josh Cribbs - 8 tied,Hard,3,Records
NFL,What is the term for a fake handoff play,Play action,Easy,1,Rules
NFL,Who won the 2007 NFL MVP,Tom Brady,Medium,2,Awards
NFL,Which team moved from San Diego to Los Angeles,Los Angeles Chargers,Easy,1,History
NFL,Who has the most career passing attempts,Brett Favre - 10169,Hard,3,Records
NFL,What is the penalty for offsides,5 yards,Easy,1,Rules
NFL,Who was the MVP of Super Bowl XLIII,Santonio Holmes,Medium,2,Championships
NFL,Which team is known as the Cheeseheads,Green Bay Packers,Easy,1,Nicknames
NFL,Who has the most career sacks in playoff history,Willie McGinest - 16,Hard,3,Records
NFL,What is a strip sack,Sack that forces a fumble,Easy,1,Quirky
NFL,Who won the 2015 NFL MVP,Cam Newton,Medium,2,Awards
NFL,Which player returned a missed field goal 109 yards for a touchdown,Chris Davis,Medium,2,Quirky
NFL,Who has the most career wins as a head coach,Don Shula - 347,Medium,2,Records
NFL,What is the neutral zone,Area between offensive and defensive lines before snap,Medium,2,Rules
NFL,Who was the first player to score 200 touchdowns,Jerry Rice,Hard,3,Records
NFL,Which team has never appeared in a Super Bowl,Cleveland Browns,Easy,1,History
NFL,Who has the most career receptions in a single season,Michael Thomas - 149,Medium,2,Records
NFL,What is icing the kicker,Calling timeout before a field goal attempt,Easy,1,Quirky
NFL,Who won Super Bowl XLIX,New England Patriots,Easy,1,Championships
NFL,Which player was known as Prime Time,Deion Sanders,Easy,1,Nicknames
