id,week_number,home_team_id,away_team_id,winner_team_id,is_draw
1,1,BUF,MIA,,FALSE
2,1,NYJ,NE,,FALSE
3,1,CIN,PIT,,FALSE
4,1,CLE,BAL,,FALSE
5,1,HOU,JAX,,FALSE
6,1,IND,TEN,,FALSE
7,1,DEN,LV,,FALSE
8,1,KC,LAC,,FALSE
9,1,DAL,NYG,,FALSE
10,1,PHI,WAS,,FALSE
11,1,GB,CHI,,FALSE
12,1,MIN,DET,,FALSE
13,1,TB,CAR,,FALSE
14,1,NO,ATL,,FALSE
15,1,SF,SEA,,FALSE
16,1,ARI,LAR,,FALSE
17,2,MIA,BUF,,FALSE
18,2,NE,NYJ,,FALSE
19,2,PIT,CIN,,FALSE
20,2,BAL,CLE,,FALSE
21,2,JAX,HOU,,FALSE
22,2,TEN,IND,,FALSE
23,2,LV,DEN,,FALSE
24,2,LAC,KC,,FALSE
25,2,NYG,DAL,,FALSE
26,2,WAS,PHI,,FALSE
27,2,CHI,GB,,FALSE
28,2,DET,MIN,,FALSE
29,2,CAR,TB,,FALSE
30,2,ATL,NO,,FALSE
31,2,SEA,SF,,FALSE
32,2,LAR,ARI,,FALSE
33,3,BUF,NYJ,,FALSE
34,3,MIA,NE,,FALSE
35,3,CIN,CLE,,FALSE
36,3,PIT,BAL,,FALSE
37,3,HOU,IND,,FALSE
38,3,JAX,TEN,,FALSE
39,3,DEN,KC,,FALSE
40,3,LV,LAC,,FALSE
41,3,DAL,WAS,,FALSE
42,3,PHI,NYG,,FALSE
43,3,GB,MIN,,FALSE
44,3,CHI,DET,,FALSE
45,3,TB,NO,,FALSE
46,3,CAR,ATL,,FALSE
47,3,SF,LAR,,FALSE
48,3,SEA,ARI,,FALSE
49,4,NYJ,MIA,,FALSE
50,4,NE,BUF,,FALSE
51,4,CLE,PIT,,FALSE
52,4,BAL,CIN,,FALSE
53,4,IND,JAX,,FALSE
54,4,TEN,HOU,,FALSE
55,4,KC,LV,,FALSE
56,4,LAC,DEN,,FALSE
57,4,WAS,DAL,,FALSE
58,4,NYG,PHI,,FALSE
59,4,MIN,GB,,FALSE
60,4,DET,CHI,,FALSE
61,4,NO,TB,,FALSE
62,4,ATL,CAR,,FALSE
63,4,LAR,SF,,FALSE
64,4,ARI,SEA,,FALSE
65,5,BUF,NE,,FALSE
66,5,MIA,NYJ,,FALSE
67,5,CIN,PIT,,FALSE
68,5,CLE,BAL,,FALSE
69,5,HOU,JAX,,FALSE
70,5,IND,TEN,,FALSE
71,5,DEN,LV,,FALSE
72,5,KC,LAC,,FALSE
73,5,DAL,NYG,,FALSE
74,5,PHI,WAS,,FALSE
75,5,GB,CHI,,FALSE
76,5,MIN,DET,,FALSE
77,5,TB,CAR,,FALSE
78,5,NO,ATL,,FALSE
79,5,SF,SEA,,FALSE
80,5,ARI,LAR,,FALSE
81,6,NE,MIA,,FALSE
82,6,NYJ,BUF,,FALSE
83,6,PIT,CIN,,FALSE
84,6,BAL,CLE,,FALSE
85,6,JAX,HOU,,FALSE
86,6,TEN,IND,,FALSE
87,6,LV,DEN,,FALSE
88,6,LAC,KC,,FALSE
89,6,NYG,DAL,,FALSE
90,6,WAS,PHI,,FALSE
91,6,CHI,GB,,FALSE
92,6,DET,MIN,,FALSE
93,6,CAR,TB,,FALSE
94,6,ATL,NO,,FALSE
95,6,SEA,SF,,FALSE
96,6,LAR,ARI,,FALSE
97,7,BUF,CIN,,FALSE
98,7,MIA,CLE,,FALSE
99,7,NYJ,PIT,,FALSE
100,7,NE,BAL,,FALSE
101,7,HOU,DEN,,FALSE
102,7,IND,KC,,FALSE
103,7,JAX,LV,,FALSE
104,7,TEN,LAC,,FALSE
105,7,DAL,GB,,FALSE
106,7,PHI,DET,,FALSE
107,7,WAS,CHI,,FALSE
108,7,NYG,MIN,,FALSE
109,7,TB,SF,,FALSE
110,7,CAR,SEA,,FALSE
111,7,ATL,LAR,,FALSE
112,7,NO,ARI,,FALSE
113,8,CIN,BUF,,FALSE
114,8,CLE,MIA,,FALSE
115,8,PIT,NYJ,,FALSE
116,8,BAL,NE,,FALSE
117,8,DEN,HOU,,FALSE
118,8,KC,IND,,FALSE
119,8,LV,JAX,,FALSE
120,8,LAC,TEN,,FALSE
121,8,GB,DAL,,FALSE
122,8,DET,PHI,,FALSE
123,8,CHI,WAS,,FALSE
124,8,MIN,NYG,,FALSE
125,8,SF,TB,,FALSE
126,8,SEA,CAR,,FALSE
127,8,LAR,ATL,,FALSE
128,8,ARI,NO,,FALSE
129,9,BUF,PIT,,FALSE
130,9,MIA,BAL,,FALSE
131,9,NYJ,CIN,,FALSE
132,9,NE,CLE,,FALSE
133,9,HOU,KC,,FALSE
134,9,IND,LV,,FALSE
135,9,JAX,LAC,,FALSE
136,9,TEN,DEN,,FALSE
137,9,DAL,DET,,FALSE
138,9,PHI,GB,,FALSE
139,9,WAS,MIN,,FALSE
140,9,NYG,CHI,,FALSE
141,9,TB,SEA,,FALSE
142,9,CAR,SF,,FALSE
143,9,ATL,ARI,,FALSE
144,9,NO,LAR,,FALSE
145,10,PIT,BUF,,FALSE
146,10,BAL,MIA,,FALSE
147,10,CIN,NYJ,,FALSE
148,10,CLE,NE,,FALSE
149,10,KC,HOU,,FALSE
150,10,LV,IND,,FALSE
151,10,LAC,JAX,,FALSE
152,10,DEN,TEN,,FALSE
153,10,DET,DAL,,FALSE
154,10,GB,PHI,,FALSE
155,10,MIN,WAS,,FALSE
156,10,CHI,NYG,,FALSE
157,10,SEA,TB,,FALSE
158,10,SF,CAR,,FALSE
159,10,ARI,ATL,,FALSE
160,10,LAR,NO,,FALSE
161,11,BUF,BAL,,FALSE
162,11,MIA,CIN,,FALSE
163,11,NYJ,CLE,,FALSE
164,11,NE,PIT,,FALSE
165,11,HOU,LV,,FALSE
166,11,IND,LAC,,FALSE
167,11,JAX,DEN,,FALSE
168,11,TEN,KC,,FALSE
169,11,DAL,PHI,,FALSE
170,11,DET,WAS,,FALSE
171,11,GB,NYG,,FALSE
172,11,MIN,CHI,,FALSE
173,11,TB,ARI,,FALSE
174,11,CAR,LAR,,FALSE
175,11,ATL,SF,,FALSE
176,11,NO,SEA,,FALSE
177,12,BAL,BUF,,FALSE
178,12,CIN,MIA,,FALSE
179,12,CLE,NYJ,,FALSE
180,12,PIT,NE,,FALSE
181,12,LV,HOU,,FALSE
182,12,LAC,IND,,FALSE
183,12,DEN,JAX,,FALSE
184,12,KC,TEN,,FALSE
185,12,PHI,DAL,,FALSE
186,12,WAS,DET,,FALSE
187,12,NYG,GB,,FALSE
188,12,CHI,MIN,,FALSE
189,12,ARI,TB,,FALSE
190,12,LAR,CAR,,FALSE
191,12,SF,ATL,,FALSE
192,12,SEA,NO,,FALSE
193,13,BUF,HOU,,FALSE
194,13,MIA,IND,,FALSE
195,13,NYJ,JAX,,FALSE
196,13,NE,TEN,,FALSE
197,13,CIN,DEN,,FALSE
198,13,CLE,KC,,FALSE
199,13,PIT,LV,,FALSE
200,13,BAL,LAC,,FALSE
201,13,DAL,CHI,,FALSE
202,13,PHI,NYG,,FALSE
203,13,WAS,GB,,FALSE
204,13,DET,MIN,,FALSE
205,13,TB,LAR,,FALSE
206,13,CAR,ARI,,FALSE
207,13,ATL,SEA,,FALSE
208,13,NO,SF,,FALSE
209,14,HOU,BUF,,FALSE
210,14,IND,MIA,,FALSE
211,14,JAX,NYJ,,FALSE
212,14,TEN,NE,,FALSE
213,14,DEN,CIN,,FALSE
214,14,KC,CLE,,FALSE
215,14,LV,PIT,,FALSE
216,14,LAC,BAL,,FALSE
217,14,CHI,MIN,,FALSE
218,14,NYG,PHI,,FALSE
219,14,GB,WAS,,FALSE
220,14,MIN,DET,,FALSE
221,14,LAR,TB,,FALSE
222,14,SEA,ATL,,FALSE
223,14,SF,NO,,FALSE
224,15,BUF,IND,,FALSE
225,15,MIA,JAX,,FALSE
226,15,NYJ,TEN,,FALSE
227,15,NE,HOU,,FALSE
228,15,CIN,KC,,FALSE
229,15,CLE,LV,,FALSE
230,15,PIT,LAC,,FALSE
